iter	Passed	Remaining
0	40	40729
1	63	31869
2	85	28578
3	108	27001
4	130	25927
5	153	25379
6	175	24897
7	197	24466
8	219	24142
9	241	23898
10	263	23730
11	286	23570
12	308	23391
13	329	23222
14	351	23099
15	374	23002
16	397	22957
17	419	22880
18	441	22771
19	463	22699
20	473	22054
21	494	21998
22	517	21972
23	539	21925
24	561	21888
25	583	21860
26	605	21815
27	627	21778
28	649	21737
29	671	21705
30	693	21669
31	715	21630
32	737	21599
33	758	21557
34	781	21537
35	803	21520
36	825	21484
37	847	21447
38	869	21421
39	891	21405
40	913	21363
41	934	21326
42	956	21285
43	978	21256
44	1000	21225
45	1021	21191
46	1043	21159
47	1065	21132
48	1087	21099
49	1109	21072
50	1131	21049
51	1152	21014
52	1174	20983
53	1196	20960
54	1218	20928
55	1239	20896
56	1261	20865
57	1282	20836
58	1304	20813
59	1326	20782
60	1348	20756
61	1370	20740
62	1392	20710
63	1414	20684
64	1436	20658
65	1457	20628
66	1479	20607
67	1501	20582
68	1523	20556
69	1532	20366
70	1555	20352
71	1577	20333
72	1599	20310
73	1621	20288
74	1643	20267
75	1665	20246
76	1686	20221
77	1708	20195
78	1730	20178
79	1752	20157
80	1774	20131
81	1796	20106
82	1817	20084
83	1839	20062
84	1862	20045
85	1884	20030
86	1908	20024
87	1930	20004
88	1953	20001
89	1975	19976
90	1986	19839
91	2008	19823
92	2030	19804
93	2040	19666
94	2063	19657
95	2085	19637
96	2107	19617
97	2129	19601
98	2152	19588
99	2175	19576
100	2200	19588
101	2226	19602
102	2251	19606
103	2275	19600
104	2300	19607
105	2323	19594
106	2347	19588
107	2371	19586
108	2396	19587
109	2419	19573
110	2442	19558
111	2465	19545
112	2487	19529
113	2510	19507
114	2532	19489
115	2556	19482
116	2579	19468
117	2602	19451
118	2624	19430
119	2648	19422
120	2671	19406
121	2695	19398
122	2718	19385
123	2728	19275
124	2750	19252
125	2772	19229
126	2781	19120
127	2803	19098
128	2826	19082
129	2847	19057
130	2857	18953
131	2879	18934
132	2901	18914
133	2923	18894
134	2945	18874
135	2968	18859
136	2991	18843
137	3013	18825
138	3035	18804
139	3058	18785
140	3080	18765
141	3102	18743
142	3124	18722
143	3146	18701
144	3155	18607
145	3177	18586
146	3199	18566
147	3221	18543
148	3242	18521
149	3265	18502
150	3287	18481
151	3308	18460
152	3330	18439
153	3352	18419
154	3374	18398
155	3396	18376
156	3419	18358
157	3441	18337
158	3463	18317
159	3484	18294
160	3506	18274
161	3528	18252
162	3550	18232
163	3572	18210
164	3594	18188
165	3616	18169
166	3638	18149
167	3660	18128
168	3682	18106
169	3704	18085
170	3726	18064
171	3748	18044
172	3770	18022
173	3791	18000
174	3813	17978
175	3835	17956
176	3856	17933
177	3879	17913
178	3907	17923
179	3931	17912
180	3955	17898
181	3977	17878
182	3999	17856
183	4021	17835
184	4043	17813
185	4065	17792
186	4087	17769
187	4108	17747
188	4131	17727
189	4153	17707
190	4175	17687
191	4197	17665
192	4220	17645
193	4242	17624
194	4263	17601
195	4285	17580
196	4307	17559
197	4329	17537
198	4351	17516
199	4373	17495
200	4395	17473
201	4418	17456
202	4441	17437
203	4463	17416
204	4485	17394
205	4507	17374
206	4530	17354
207	4551	17332
208	4574	17311
209	4595	17289
210	4617	17267
211	4639	17244
212	4661	17221
